         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp         t          f          d1         d2         xd1        yd1
   0.523599   1.406419   1.915231   0.939801  -0.751811  -0.803075   0.363967  -0.281268   0.892837  -0.086634   0.020806   2.003650   0.202842   0.011237  -4.890304   0.041390   0.020275  -0.075145   0.060569
   0.541052   1.401180   1.909665   0.942739  -0.747927  -0.799275   0.377566  -0.286141   0.895554  -0.092259   0.022446   1.997791   0.197984   0.012370  -4.896634   0.040995   0.020061  -0.080688   0.061774
   0.558505   1.395778   1.903945   0.945808  -0.743839  -0.795269   0.391059  -0.290907   0.898395  -0.098033   0.024160   1.991769   0.192887   0.013573  -4.904831   0.040598   0.019841  -0.086388   0.063052
   0.575959   1.390213   1.898070   0.949011  -0.739543  -0.791053   0.404721  -0.295843   0.901365  -0.103952   0.025948   1.985585   0.187540   0.014847  -4.911092   0.040174   0.019613  -0.092239   0.064376
   0.593412   1.384488   1.892050   0.952352  -0.735037  -0.786624   0.418269  -0.300664   0.904468  -0.110013   0.027811   1.979244   0.181938   0.016193  -4.917009   0.039733   0.019379  -0.098246   0.065762
   0.610865   1.378603   1.885880   0.955836  -0.730315  -0.781979   0.431992  -0.305660   0.907708  -0.116211   0.029750   1.972750   0.176067   0.017613  -4.923375   0.039281   0.019139  -0.104391   0.067210
   0.628319   1.372560   1.879570   0.959467  -0.725376  -0.777114   0.445593  -0.310534   0.911089  -0.122544   0.031765   1.966104   0.169918   0.019108  -4.927865   0.038803   0.018892  -0.110687   0.068712
   0.645772   1.366360   1.873121   0.963251  -0.720216  -0.772026   0.459374  -0.315588   0.914615  -0.129006   0.033857   1.959312   0.163479   0.020679  -4.932956   0.038315   0.018639  -0.117114   0.070280
   0.663225   1.360003   1.866535   0.967193  -0.714830  -0.766710   0.473024  -0.320512   0.918294  -0.135594   0.036026   1.952376   0.156737   0.022327  -4.937204   0.037808   0.018380  -0.123682   0.071909
   0.680678   1.353493   1.859818   0.971298  -0.709214  -0.761163   0.486861  -0.325622   0.922128  -0.142303   0.038273   1.945301   0.149680   0.024053  -4.941072   0.037286   0.018114  -0.130376   0.073600
